pc,evr,cumulative
1,0.1292288069707859,0.1292288069707859
2,0.11800198300083281,0.2472307899716187
3,0.09086644933671065,0.33809723930832936
4,0.05168028758699335,0.3897775268953227
5,0.03434801280221199,0.4241255396975347
6,0.031173639119044506,0.4552991788165792
7,0.029247144296009813,0.48454632311258905
8,0.025208752816691615,0.5097550759292807
9,0.023226275020480653,0.5329813509497614
10,0.022177706864601663,0.555159057814363
11,0.019887385889635734,0.5750464437039988
12,0.019326069941607554,0.5943725136456064
13,0.01839802442098913,0.6127705380665955
14,0.017734273409883858,0.6305048114764794
15,0.016643756673184792,0.6471485681496641
16,0.01610032351814375,0.6632488916678079
17,0.014390701756733234,0.677639593424541
18,0.013824489555439164,0.6914640829799802
19,0.013586315120398477,0.7050503981003786
20,0.01238234573027721,0.7174327438306558
21,0.011802697492384492,0.7292354413230403
22,0.01090646243982922,0.7401419037628695
23,0.010601670256335632,0.7507435740192051
24,0.009810837354683997,0.7605544113738891
25,0.009533930755524183,0.7700883421294134
26,0.00931440612680677,0.7794027482562201
27,0.00899849497803961,0.7884012432342598
28,0.008622920870440767,0.7970241641047006
29,0.00816358246969868,0.8051877465743993
30,0.008121987423041734,0.813309733997441
31,0.007855652349751305,0.8211653863471923
32,0.007735256877364005,0.8289006432245563
33,0.007494669911318998,0.8363953131358752
34,0.007348098056335415,0.8437434111922106
35,0.007298144607726056,0.8510415557999367
36,0.0070768382832549276,0.8581183940831916
37,0.006785544094730431,0.864903938177922
38,0.006454261567403444,0.8713581997453255
39,0.006228747850015745,0.8775869475953412
40,0.006082926565462429,0.8836698741608036
41,0.005905398253074214,0.8895752724138778
42,0.005670832226920229,0.895246104640798
43,0.005452041015763874,0.9006981456565619
44,0.005158979777573963,0.9058571254341359
45,0.004989825429382392,0.9108469508635183
46,0.004761945564002992,0.9156088964275213
47,0.00462029453969263,0.9202291909672139
48,0.004526973608885618,0.9247561645760995
49,0.004287922872244156,0.9290440874483437
50,0.004058326343844429,0.9331024137921881
51,0.0038969872505786696,0.9369994010427667
52,0.0038050854421451618,0.9408044864849119
53,0.0034673587586565506,0.9442718452435684
