variant,n,n_long,n_short,wr,net_bps,cum_pct,mdd,long_net_bps,short_net_bps
BASE_5/5,94,52,42,0.6276595744680851,59.162999317427385,75.24102094992485,3.8966167774084903,56.151234096915964,62.89185149520341
UP3_DOWN5,83,41,42,0.6265060240963856,49.41171106520686,51.8682527538856,4.4094735474450975,35.602786722283554,62.89185149520341
UP2_DOWN5,80,38,42,0.625,47.80170992799979,47.6295842207862,4.326865169912564,31.123132406353665,62.89185149520341
CTRL_UP5_DOWN3,83,52,31,0.6506024096385542,62.722974419553246,68.94734272857295,3.1017749397416305,56.151234096915964,73.74653883171901
