variant,n,wr,avg_gross_bps,avg_net_bps,avg_abs_bps,median_net_bps,avg_hold_h,sum_net_pct,cum_net_pct,sharpe,mdd_pct,n_days,giveback_bps,mfe_bps
BASE_3.0,94,0.6276595744680851,69.16299931742739,59.162999317427385,122.11475559674997,30.468842756097857,12.03191489361702,55.61321935838174,75.24102094992485,5.599784324229004,3.8966167774084903,148,90.0112550779206,149.24130071082783
SYM_2.0,115,0.48695652173913045,43.88126733145918,33.88126733145917,101.41539992535807,-0.5050561745190054,8.173913043478262,38.96345743117805,49.67246837940462,4.750401611446854,4.168705377400228,148,83.02972143814226,117.601289502487
SYM_2.5,103,0.5339805825242718,51.60653398471711,41.606533984717096,112.30199629179536,19.56859562749159,10.077669902912621,42.85473000425861,55.155020852780325,4.989513212576026,3.0063415118258163,148,88.19325263889921,130.73360557486558
SYM_3.5,90,0.6222222222222222,69.24011035831462,59.24011035831462,118.8362973415083,30.468842756097857,13.044444444444444,53.316099322483154,71.14691859417412,5.280668274637222,4.50869096310308,148,91.66409744106181,150.52978950665536
BE@1.0,103,0.5436893203883495,45.70154648015588,35.70154648015587,91.37275485615397,8.673617379884035e-15,9.728155339805825,36.77259287456055,46.207752753459516,4.4521545273813246,3.8966167774084903,148,89.6847519430365,126.32075186993428
BE@1.5,94,0.6063829787234043,58.63732827396756,48.637328273967555,111.58908455329022,25.33748961259464,11.308510638297872,45.7190885775295,59.41825659588562,5.1443580866407945,3.8966167774085014,148,88.45449727305993,137.15887186250734
TIGHT1.5@1.5,106,0.6132075471698113,48.67564113158897,38.67564113158896,104.47233251823195,28.921245605563758,9.09433962264151,40.99617959948429,52.37997985299274,4.949860147142846,5.3394701601259476,148,84.53411263848263,125.1978148051023
TIGHT1.5@2.5,98,0.5918367346938775,61.332905292819326,51.33290529281932,124.68108598476195,24.881958063066044,10.153061224489797,50.306247186962935,66.81554857483214,5.670068032717425,3.8966167774085125,148,81.95242294003604,134.06176189175522
BE1.5+TIGHT2.5,99,0.5757575757575758,60.763559611194204,50.7635596111942,119.68720158221377,20.9860866395284,10.04040404040404,50.25592401508226,66.88522081046749,5.788705268178355,3.8966167774084903,148,80.03764559334529,131.67080620021812
ASYM_L2.0_S3.0,108,0.5185185185185185,46.38949716035629,36.389497160356285,104.8497596431126,7.732151543655705,9.046296296296296,39.30065693318478,49.74150624498903,4.5396712249619195,4.168705377400228,148,85.91992232393916,122.90543908682827
ASYM_L2.5_S3.5,100,0.56,54.87163608935237,44.871636089352364,112.60834119584156,20.541045738784465,10.9,44.871636089352364,58.04909427727705,4.996523438929855,3.674083882295809,148,89.58459238553047,135.11795687275125
