n,wr,avg_gross_bps,avg_net_bps,avg_abs_bps,median_net_bps,avg_hold_h,sum_net_pct,cum_net_pct,sharpe,mdd_pct,n_days,policy
111,0.6216216216216216,76.81154647498457,68.81154647498455,133.86137233676556,32.294944665393295,11.792792792792794,76.38081658723286,109.67787939222795,5.663244923243304,4.736276587837196,149,STRONG
203,0.5320197044334976,40.19225581738036,32.192255817380364,132.48158830896446,10.448425654902234,11.866995073891626,65.35027930928214,86.71402201407771,4.349472399208975,8.039653135613767,149,BOTH
203,0.5320197044334976,40.19225581738036,32.192255817380364,132.48158830896446,10.448425654902234,11.866995073891626,65.35027930928214,86.71402201407771,4.349472399208975,8.039653135613767,149,BOTH_PREempt
