set,n_samples,up_rate,pred_up_rate,roc_auc,pr_auc,brier_score,accuracy,precision,recall,f1,top_decile_precision,top_decile_n,bot_decile_down_rate,bot_decile_n,calibration,n_folds,n_features
baseline_old,2721,0.4928335170893054,0.5086365306872473,0.5838485772028229,0.5485583511466223,0.24635700885370748,0.5586181550900404,0.5505780346820809,0.5682326621923938,0.5592660550458716,0.5294117647058824,272,0.7095588235294117,272,"[{'bin': '0.00-0.20', 'n': 1, 'mean_pred': 0.18094563484191895, 'actual_up_rate': 0.0, 'gap': -0.18094563484191895}, {'bin': '0.20-0.40', 'n': 113, 'mean_pred': 0.3535134792327881, 'actual_up_rate': 0.2920353982300885, 'gap': -0.06147808100269958}, {'bin': '0.40-0.60', 'n': 2417, 'mean_pred': 0.5015074610710144, 'actual_up_rate': 0.5006206040546132, 'gap': -0.0008868570164012324}, {'bin': '0.60-0.80', 'n': 182, 'mean_pred': 0.6615668535232544, 'actual_up_rate': 0.4945054945054945, 'gap': -0.16706135901775987}, {'bin': '0.80-1.00', 'n': 8, 'mean_pred': 0.8185935020446777, 'actual_up_rate': 1.0, 'gap': 0.18140649795532227}]",77,79
full_expanded,2721,0.4928335170893054,0.5545755237045203,0.5708766981162663,0.5598628314902697,0.24743770288781833,0.5450202131569276,0.534128561961564,0.6010439970171514,0.5656140350877193,0.5919117647058824,272,0.5514705882352942,272,"[{'bin': '0.20-0.40', 'n': 142, 'mean_pred': 0.3544215261936188, 'actual_up_rate': 0.4084507042253521, 'gap': 0.05402917803173335}, {'bin': '0.40-0.60', 'n': 2356, 'mean_pred': 0.5033881068229675, 'actual_up_rate': 0.4876910016977929, 'gap': -0.015697105125174637}, {'bin': '0.60-0.80', 'n': 218, 'mean_pred': 0.6560256481170654, 'actual_up_rate': 0.591743119266055, 'gap': -0.06428252885101038}, {'bin': '0.80-1.00', 'n': 5, 'mean_pred': 0.8233025670051575, 'actual_up_rate': 1.0, 'gap': 0.17669743299484253}]",77,115
