feature_set,n_features,roc_auc,pr_auc,accuracy,top_decile_precision,bot_decile_down_rate,f1
+ key_4_only,88,0.6004485080353187,0.5675653152219574,0.5799338478500551,0.5808823529411765,0.6764705882352942,0.5793154214206846
+ bfx_margin,83,0.5966083606220753,0.5812358691471193,0.5744211686879823,0.6654411764705882,0.6433823529411764,0.576444769568398
baseline_old,79,0.5838485772028229,0.5485583511466223,0.5586181550900404,0.5294117647058824,0.7095588235294117,0.5592660550458716
+ spot_fut_cvd,84,0.5833625133741854,0.5770283169759332,0.5626607864755605,0.6544117647058824,0.6617647058823529,0.5602365114560236
+ pos_divergence,84,0.5811521252796421,0.5468503558741143,0.5483278206541713,0.5625,0.6066176470588236,0.5212310089598753
full_expanded,115,0.5708766981162663,0.5598628314902697,0.5450202131569276,0.5919117647058824,0.5514705882352942,0.5656140350877193
+ cb_premium,82,0.5692507213954544,0.5405117425718615,0.5703785373024624,0.5330882352941176,0.5625,0.5759883931809938
