label,n,ic,sign_auc,strong_n,strong_wr,mae,rmse
BASELINE (V7),3696,-0.00018947686950118714,0.5208460730150698,0,,0.004462798524569287,0.006702997991529603
NEW (V7 + 9 liq),3696,0.005585454297623822,0.5178878310560054,0,,0.004470235824171304,0.006708753739459313
