regime,n,return_mean,return_std,direction_accuracy,actual_magnitude_mean
high_up + high_mag,114,0.002768951160360077,0.01227255108628773,0.6228070175438597,0.009961750671467751
high_up + low_mag,109,0.0006997555386581479,0.007609299978042148,0.5779816513761468,0.00578293590279255
high_down + high_mag,62,-0.00422518379332704,0.015115659295044034,0.532258064516129,0.012614380035217162
high_down + low_mag,80,-0.004156249012003623,0.011111684207474219,0.6375,0.008540863329780813
uncertain + high_mag,1184,-0.00020825584459638186,0.01503903927598621,,0.011876273574839339
uncertain + low_mag,1172,-0.001054335569381692,0.009615003674915523,,0.007108318537938355
