policy,K,n,wr,avg_net_bps,sharpe,mdd_pct,cum_net_pct,peak_concurrent,peak_net_dir
STRONG,1,110,0.6181818181818182,68.49799459631701,5.570373431378121,4.736276587837207,107.24856208437572,1,1
STRONG,2,177,0.6497175141242938,76.75459456164712,5.399168108780835,5.029755894176291,101.69384722839769,2,2
BOTH,1,201,0.5323383084577115,31.999835476435543,4.272898585726323,8.039653135613756,84.61212475426171,1,1
BOTH,2,348,0.5545977011494253,44.23734703656953,4.133765423640757,8.301080822572793,81.08840295255621,2,2
