side,lookback,n,frac_positive,p05,q25,med,q75,p95,spread
sellside,L1,6608,1.0,0.7026974267968651,1.2650493846386308,1.885120840387134,2.7790396135388553,4.4113546540438895,1.5139902289002245
sellside,L2,6608,1.0,0.8143129949731273,1.4193374796756957,2.1689297886046743,3.2992902531642407,5.480554998399645,1.879952773488545
sellside,L3,6608,0.9838075060532687,0.7135532348933106,1.652589521499572,2.8402077867467916,4.628942265057285,7.75430104997099,2.9763527435577126
buyside,L1,6420,1.0,0.6595738166018983,1.153988836960846,1.70009342568224,2.5244612987210093,4.073173440609234,1.3704724617601634
buyside,L2,6420,1.0,0.7570361261023952,1.3194732756376992,1.9908444492911537,3.126969367934376,5.310062855166051,1.807496092296677
buyside,L3,6420,0.9850467289719627,0.6764372906345187,1.5320718803642088,2.6278491823685792,4.351420359103219,8.128751990398484,2.8193484787390104
