side,lookback,tau,n,delta,ci_lo,ci_hi,main
sellside,L1,900,6608,-0.2145051757349214,-0.5172103949654605,-0.01278727176679564,False
sellside,L1,1800,6608,-0.30897760888122017,-0.7503647749243116,-0.015036569262782613,False
sellside,L1,3600,6608,-0.2786787863969089,-0.6492762366558184,-0.011713416684693249,False
sellside,L1,7200,6608,-0.2503205681987425,-0.7067798680949999,0.05264107353879888,False
sellside,L1,14400,6608,-0.27423483514221375,-0.7647029844760969,0.0843696504600766,False
sellside,L2,900,6608,-0.22002845493901735,-0.4567431436497451,-0.047983631401161866,False
sellside,L2,1800,6608,-0.28421496970342625,-0.5303068658264383,-0.08852003200904322,False
sellside,L2,3600,6608,-0.3161040560987106,-0.6022382800975533,-0.10350489292333616,True
sellside,L2,7200,6608,-0.3365577241488238,-0.6722678747535957,-0.061110800794377126,False
sellside,L2,14400,6608,-0.4153049536247437,-0.7818396680461284,-0.10578422048949196,False
sellside,L3,900,6608,-0.14307918356959443,-0.38444525592153167,0.024603265604498038,False
sellside,L3,1800,6608,-0.2622969305256571,-0.6975045894196735,0.007357324429711014,False
sellside,L3,3600,6608,-0.2257654552028933,-0.6304924684825461,0.031580892864397456,False
sellside,L3,7200,6608,-0.30670728533005354,-0.7933337789487432,0.03198669377942732,False
sellside,L3,14400,6608,-0.3297733545541082,-0.8378777337216262,0.04101337544348491,False
buyside,L1,900,6420,-0.04597285368676424,-0.10675765870296317,0.016539528568865557,False
buyside,L1,1800,6420,-0.0006861743047664915,-0.06604528906960128,0.07051171773389772,False
buyside,L1,3600,6420,0.10195081774168802,0.003346087101994684,0.21430762057126726,False
buyside,L1,7200,6420,0.09873642003788134,-0.03461630345277433,0.23615824656403075,False
buyside,L1,14400,6418,0.030655911440209464,-0.14108699624213605,0.23242447237633446,False
buyside,L2,900,6420,-0.02616401310286187,-0.07634969887251232,0.03560999788727002,False
buyside,L2,1800,6420,0.023874009894793102,-0.04463603448490871,0.10062259043916723,False
buyside,L2,3600,6420,0.1170147097401113,0.008152239560566158,0.2238404242244418,True
buyside,L2,7200,6420,0.1036847563086504,-0.03148704587719734,0.24102454019616687,False
buyside,L2,14400,6418,0.10093906863621832,-0.08006968838583772,0.28797940398160543,False
buyside,L3,900,6420,-0.05455461721564742,-0.11039877659579288,-0.006303325314590498,False
buyside,L3,1800,6420,-0.04149804003514704,-0.1205717892670699,0.03339452039207568,False
buyside,L3,3600,6420,0.02612269966674124,-0.11850419009451349,0.1816759239162925,False
buyside,L3,7200,6420,0.026920095727321815,-0.14155924466267325,0.19214778702277835,False
buyside,L3,14400,6418,-0.02083935761119359,-0.2315987560362901,0.17835326423113199,False
