sym,side,t_sweep,day,utc_hour,atr,r,pierce_atr,poc_m5u,vwap_m5u,poc_m5c,vwap_m5c,poc_m1u,vwap_m1u,poc_m1c,vwap_m1c,trend_24h,er_24h,rv_24h,rv_1h
BTC,buyside,1757400600,2025-09-09,6,455.18894898073,0.2006858914403764,0.3161983618501703,1.9074067738528224,1.9735648827358128,2.0074067738528045,1.9735648827358128,1.8574067738527993,1.9495322443800511,2.0574067738528274,1.9495322443800511,2.3874481189261285,0.2026290274463018,0.002622831889824715,0.0028559073243303625
BTC,sellside,1757432400,2025-09-09,15,541.1715339710653,-0.10128027170575964,0.3898948609726422,3.359322760515412,2.1213771309685843,2.309322760515427,2.1213771309685843,3.4593227605154118,2.089034859565436,3.5093227605154254,2.089034859565436,-1.5970906556334397,0.14014281822780886,0.003211354530694057,0.00437012207666006
BTC,buyside,1757507700,2025-09-10,12,488.0110519529361,0.4508709364664524,0.1272512164458004,3.972807156926048,3.5277941569796196,2.3228071569260367,3.5277941569796196,4.0728071569260464,3.311285677282108,0.2728071569260336,3.311285677282108,-0.7618065175209251,0.06676675903659636,0.00337399511097848,0.002500121048292102
BTC,buyside,1757507700,2025-09-10,12,488.0110519529361,0.4508709364664524,0.3347874998858859,3.765270873485963,3.320257873539534,2.1152708734859513,3.320257873539534,3.8652708734859607,3.1037493938420226,0.0652708734859481,3.1037493938420226,-0.7618065175209251,0.06676675903659636,0.00337399511097848,0.002500121048292102
BTC,buyside,1757507700,2025-09-10,12,488.0110519529361,0.4508709364664524,0.5219349008197681,3.5781234725520803,3.133110472605652,1.928123472552069,3.133110472605652,3.678123472552078,2.9166019929081406,-0.12187652744793409,2.9166019929081406,-0.7618065175209251,0.06676675903659636,0.00337399511097848,0.002500121048292102
BTC,buyside,1757563200,2025-09-11,4,437.4275549748444,-0.5525943604853655,0.27684584252346767,0.9554276329229678,2.543529493757421,2.25542763292297,2.543529493757421,1.105427632922972,2.51021704477995,2.1554276329229674,2.51021704477995,5.196609070799674,0.5712038516820936,0.0027575454899537344,0.001790934591990895
BTC,buyside,1757635500,2025-09-12,0,493.94533477765293,0.6422573059482569,0.01933412328775571,3.39398967588546,2.909283551326863,3.8439896758854633,2.909283551326863,3.143989675885465,2.855208390852722,3.6939896758854425,2.855208390852722,3.2331310522831083,0.3341871166607041,0.0024168165841445023,0.0015655439460826887
BTC,buyside,1757702100,2025-09-12,18,449.07115561950525,0.12659463714960667,0.26563719024760013,2.774837746798193,2.2794441796698837,2.924837746798177,2.2794441796698837,3.074837746798194,2.2593844870334605,2.924837746798177,2.2593844870334605,3.3464852533822453,0.33044986883681265,0.0021680809801663584,0.0024508684296749928
BTC,sellside,1757895000,2025-09-15,0,331.59545829982744,0.597686111312175,0.18513522565948656,1.8830613941873702,1.577032044948073,0.5330613941873542,1.577032044948073,2.0330613941873814,1.5646194406028957,1.933061394187374,1.5646194406028957,-2.0132664163222,0.17412590148541757,0.001992697208699555,0.002270154562325164
BTC,buyside,1757910300,2025-09-15,4,358.0970737323332,1.1759660463318047,0.008573094351190275,1.0208091844950398,1.7380126064093844,2.4208091844950705,1.7380126064093844,1.0208091844950398,1.689643090760247,1.1208091844950447,1.689643090760247,-0.8532323283613039,0.0759392366806873,0.002040394792098362,0.0017978561001363547
