bucket,n,n_hi,n_lo,mean_hi,mean_lo,delta,side
T1_down,2203,551,551,-0.16699177400750245,-0.06433787304439077,-0.10265390096311168,sellside
T2_flat,2202,551,551,-0.7599043787328678,0.062051571421788625,-0.8219559501546564,sellside
T3_up,2203,551,551,-0.009443331607424084,0.16872678087112872,-0.1781701124785528,sellside
T1_down,2140,535,535,0.3194963864863621,0.1490346223896353,0.17046176409672678,buyside
T2_flat,2140,535,535,0.20827660908025902,-0.03909910606418175,0.2473757151444408,buyside
T3_up,2140,535,535,-0.007402461678142598,0.026166650200767815,-0.033569111878910415,buyside
