side,bucket,n,cont_rate,mean_r
sellside,T1_down,2203,0.41534271448025417,-0.08872205823100006
sellside,T2_flat,2202,0.4359673024523161,-0.14662990759023994
sellside,T3_up,2203,0.48070812528370405,0.07127123898511599
buyside,T1_down,2140,0.49626168224299066,0.17102543239653165
buyside,T2_flat,2140,0.4794392523364486,0.058906880599380054
buyside,T3_up,2140,0.4738317757009346,0.030350599672051375
