side,lookback,n,frac_positive,p05,q25,med,q75,p95,spread
sellside,L1,6608,0.999546004842615,0.5028832535874921,1.043750857638577,1.6225686464665183,2.4373360241582294,3.9843171148466423,1.3935851665196524
sellside,L2,6608,1.0,0.6324013171252544,1.2526724851118292,1.9400379000632508,2.895018951103795,4.55694430929362,1.642346465991966
sellside,L3,6608,0.9603510895883777,0.3524910817664437,1.488767431947883,2.6339239120969014,4.233579714795132,7.207547283061059,2.744812282847249
buyside,L1,6420,0.9998442367601246,0.4609319125194185,0.9981005182513744,1.537718034548282,2.344860437768889,3.824059384100696,1.3467599195175146
buyside,L2,6420,0.9995327102803738,0.6189808547227402,1.2416046827564848,1.918494416931317,2.993598209831667,4.986303613718893,1.7519935270751823
buyside,L3,6420,0.9666666666666667,0.44738189038637854,1.5262856087136385,2.669936599960363,4.5063689159638765,8.22284484487574,2.980083307250238
