H,n_sig,h_wr,h_ret_bps,ic_full,p_full,ic_sig,b_wr,b_ret_bps
4,1112,0.6420863309352518,32.006757894162014,0.17479390469693987,9.594419553405563e-27,0.1454095048321997,0.42356115107913667,2.629991055660097
6,1112,0.6420863309352518,41.96843240208207,0.18251034621841938,4.7754422035397964e-29,0.13496463540805476,0.4172661870503597,2.6716730644441373
8,1112,0.6151079136690647,42.30407091513716,0.15605041730277017,1.3963502963564069e-21,0.10818270657767172,0.414568345323741,2.819138430631827
12,1112,0.5989208633093526,45.12746716834412,0.12902366951748445,3.4282345261619267e-15,0.08409146252968833,0.4118705035971223,2.7664463769144283
24,1112,0.6241007194244604,72.12812563006187,0.15366831471597694,5.726372249993554e-21,0.1194146206419931,0.4064748201438849,2.5483544762287376
