signal_ts,entry_ts,exit_ts,direction,tier,exit_reason,hold_h,stop_pct,size_frac,cap_bound,price_ret_pct,equity_ret_pct,equity_after,regime
2025-12-01 08:00:00,2025-12-01 09:00:00,2025-12-01 12:00:00,UP,Strong,trail_stop,3.0,2.147167320605635,0.9314597799652965,False,-2.060772739273764,-1.9940437046796489,980.0595629532036,BEAR
2025-12-01 12:00:00,2025-12-01 13:00:00,2025-12-01 15:00:00,UP,Strong,trail_stop,2.0,2.2738764360006205,0.8795552688507893,False,-0.8350553161160401,-0.8048417245797856,972.1716346648219,BEAR
2025-12-01 15:00:00,2025-12-01 16:00:00,2025-12-04 14:00:00,UP,Strong,trail_stop,70.0,2.7901896401523523,0.7167971564437442,False,8.47383871188545,6.016679720326912,1030.664088254471,BEAR
2025-12-09 04:00:00,2025-12-09 05:00:00,2025-12-09 09:00:00,UP,Moderate,opp_signal,4.0,2.216270280101822,0.9024170102159715,False,0.6494554121098783,0.5138862504475039,1035.9605292923109,CHOPPY
2025-12-09 09:00:00,2025-12-09 10:00:00,2025-12-09 12:00:00,DOWN,Moderate,opp_signal,2.0,1.99584121963131,1.0,True,-0.26859045504994405,-0.34859045504994635,1032.3492697691129,CHOPPY
2025-12-09 12:00:00,2025-12-09 13:00:00,2025-12-09 19:00:00,UP,Moderate,opp_signal,6.0,1.8362275026308075,1.0,True,3.7052910163951847,3.6252910163951935,1069.774935103874,CHOPPY
2025-12-09 19:00:00,2025-12-09 20:00:00,2025-12-09 21:00:00,DOWN,Strong,opp_signal,1.0,2.4878890126195032,0.803894381885708,False,0.7323870356722662,0.5244502727919986,1075.3853726692867,BULL
2025-12-09 21:00:00,2025-12-09 22:00:00,2025-12-10 21:00:00,UP,Moderate,trail_stop,23.0,2.6384017087181384,0.758034681902816,False,-0.6376716177375674,-0.5440199764623732,1069.5350614180113,BULL
2025-12-10 21:00:00,2025-12-10 22:00:00,2025-12-11 02:00:00,UP,Moderate,trail_stop,4.0,2.6111101245241124,0.7659577362193829,False,-2.2308626278201293,-1.7700231071190786,1050.6040436921724,CHOPPY
2025-12-11 02:00:00,2025-12-11 03:00:00,2025-12-11 23:00:00,UP,Moderate,opp_signal,20.0,2.686459938631414,0.7444741576972397,False,2.5445829594021863,1.8348183227759218,1069.880719185661,CHOPPY
2025-12-11 23:00:00,2025-12-12 00:00:00,2025-12-12 09:00:00,DOWN,Strong,opp_signal,9.0,2.6985483633556093,0.7411392091980247,False,0.17971919686498028,0.07390580670636471,1070.671423161971,CHOPPY
2025-12-12 09:00:00,2025-12-12 10:00:00,2025-12-12 15:00:00,DOWN,Strong,opp_signal,5.0,2.175296221840887,0.9194150111231568,False,0.09591086669038518,0.01462868967512243,1070.8280483619055,BULL
2025-12-12 15:00:00,2025-12-12 16:00:00,2025-12-12 22:00:00,UP,Moderate,opp_signal,6.0,2.455716705925018,0.8144261897858618,False,0.2846654430168405,0.16668489693703048,1072.6129569906905,CHOPPY
2025-12-12 22:00:00,2025-12-12 23:00:00,2025-12-15 02:00:00,DOWN,Strong,trail_stop,51.0,2.118949782473436,0.9438638029757428,False,0.9713755633109833,0.8413371290663552,1081.6372480490297,BEAR
2025-12-15 12:00:00,2025-12-15 13:00:00,2025-12-15 16:00:00,DOWN,Strong,opp_signal,3.0,1.4390537163211075,1.0,True,2.9683943076962427,2.8883943076962515,1112.8791967516004,CHOPPY
2025-12-15 16:00:00,2025-12-15 17:00:00,2025-12-17 15:00:00,UP,Moderate,trail_stop,46.0,2.308933071990315,0.8662009411455079,False,1.5174646139914927,1.2451332015027905,1126.736025122972,BEAR
2025-12-17 15:00:00,2025-12-17 16:00:00,2025-12-18 17:00:00,UP,Moderate,trail_stop,25.0,3.2099497211747283,0.6230627186484624,False,-0.6214944907037001,-0.43707506449476297,1121.81134291448,BEAR
2025-12-19 03:00:00,2025-12-19 04:00:00,2025-12-19 07:00:00,UP,Moderate,opp_signal,3.0,3.1781265151351232,0.6293015682275213,False,0.6755449948885106,0.3747773992333947,1126.01563828976,CHOPPY
2025-12-19 08:00:00,2025-12-19 09:00:00,2025-12-22 00:00:00,DOWN,Strong,trail_stop,63.0,2.8206100347234897,0.7090664697986385,False,-1.3810757002909568,-1.0359997889138772,1114.3501186539409,BULL
2025-12-22 03:00:00,2025-12-22 04:00:00,2025-12-22 07:00:00,UP,Moderate,opp_signal,3.0,1.6528822877913862,1.0,True,0.15767395415622332,0.07767395415623213,1115.215678454244,CHOPPY
2025-12-22 07:00:00,2025-12-22 08:00:00,2025-12-22 12:00:00,DOWN,Strong,trail_stop,4.0,1.4836667919751247,1.0,True,-1.396488605146784,-1.4764886051467863,1098.7496460390566,CHOPPY
2025-12-22 12:00:00,2025-12-22 13:00:00,2025-12-23 00:00:00,DOWN,Strong,opp_signal,11.0,1.6131160665146442,1.0,True,1.7629797540678172,1.6829797540678149,1117.2413801297857,CHOPPY
2025-12-23 02:00:00,2025-12-23 03:00:00,2025-12-23 14:00:00,UP,Moderate,trail_stop,11.0,1.9297379784244777,1.0,True,-1.7320465335983082,-1.8120465335983105,1096.996446429218,CHOPPY
