signal_ts,entry_ts,exit_ts,direction,tier,entry_px,exit_px,exit_reason,hold_h,price_ret_pct,equity_ret_pct,equity_after,liquidated,regime
2025-12-01 08:00:00,2025-12-01 09:00:00,2025-12-01 12:00:00,UP,Strong,86811.0,85022.02257730905,trail_stop,3.0,-2.060772739273764,-10.70386369636882,892.9613630363118,False,BEAR
2025-12-01 12:00:00,2025-12-01 13:00:00,2025-12-01 15:00:00,UP,Strong,85396.3,84683.1936570836,trail_stop,2.0,-0.8350553161160401,-4.575276580580201,852.1059109196817,False,BEAR
2025-12-01 15:00:00,2025-12-01 16:00:00,2025-12-04 14:00:00,UP,Strong,84650.0,91823.10446961103,trail_stop,70.0,8.47383871188545,41.969193559427254,1209.7278900048836,False,BEAR
2025-12-09 04:00:00,2025-12-09 05:00:00,2025-12-09 09:00:00,UP,Moderate,89875.3,90459.0,opp_signal,4.0,0.6494554121098783,2.8472770605493913,1244.172194712061,False,CHOPPY
2025-12-09 09:00:00,2025-12-09 10:00:00,2025-12-09 12:00:00,DOWN,Moderate,90100.0,90342.0,opp_signal,2.0,-0.26859045504994405,-1.7429522752497206,1222.4868671363026,False,CHOPPY
2025-12-09 12:00:00,2025-12-09 13:00:00,2025-12-09 19:00:00,UP,Moderate,90532.7,93887.2,opp_signal,6.0,3.7052910163951847,18.126455081975923,1444.0803999908192,False,CHOPPY
2025-12-09 19:00:00,2025-12-09 20:00:00,2025-12-09 21:00:00,DOWN,Strong,93761.9,93075.2,opp_signal,1.0,0.7323870356722662,3.2619351783613304,1491.1853665619408,False,BULL
2025-12-09 21:00:00,2025-12-09 22:00:00,2025-12-10 21:00:00,UP,Moderate,92591.2,92000.77219707737,trail_stop,23.0,-0.6376716177375674,-3.5883580886878375,1437.676295843586,False,BULL
2025-12-10 21:00:00,2025-12-10 22:00:00,2025-12-11 02:00:00,UP,Moderate,92308.3,90249.02863292392,trail_stop,4.0,-2.2308626278201293,-11.554313139100646,1271.5626746951953,False,CHOPPY
2025-12-11 02:00:00,2025-12-11 03:00:00,2025-12-11 23:00:00,UP,Moderate,90034.4,92325.4,opp_signal,20.0,2.5445829594021863,12.322914797010931,1428.2562596884775,False,CHOPPY
2025-12-11 23:00:00,2025-12-12 00:00:00,2025-12-12 09:00:00,DOWN,Strong,92477.6,92311.4,opp_signal,9.0,0.17971919686498028,0.49859598432491214,1435.3774880451533,False,CHOPPY
2025-12-12 09:00:00,2025-12-12 10:00:00,2025-12-12 15:00:00,DOWN,Strong,92481.7,92393.0,opp_signal,5.0,0.09591086669038518,0.07955433345192553,1436.5193930382866,False,BULL
2025-12-12 15:00:00,2025-12-12 16:00:00,2025-12-12 22:00:00,UP,Moderate,89895.0,90150.9,opp_signal,6.0,0.2846654430168405,1.023327215084202,1451.2196869372099,False,CHOPPY
2025-12-12 22:00:00,2025-12-12 23:00:00,2025-12-15 02:00:00,DOWN,Strong,90294.7,89417.59934923504,trail_stop,51.0,0.9713755633109833,4.456877816554927,1515.8987752337923,False,BEAR
2025-12-15 12:00:00,2025-12-15 13:00:00,2025-12-15 16:00:00,DOWN,Strong,89657.9,86996.5,opp_signal,3.0,2.9683943076962427,14.441971538481212,1734.824444905242,False,CHOPPY
2025-12-15 16:00:00,2025-12-15 17:00:00,2025-12-17 15:00:00,UP,Moderate,86360.6,87671.09154543074,trail_stop,46.0,1.5174646139914927,7.187323069957463,1859.511882457178,False,BEAR
2025-12-17 15:00:00,2025-12-17 16:00:00,2025-12-18 17:00:00,UP,Moderate,87191.0,86649.11273861054,trail_stop,25.0,-0.6214944907037001,-3.507472453518501,1794.2900154100892,False,BEAR
2025-12-19 03:00:00,2025-12-19 04:00:00,2025-12-19 07:00:00,UP,Moderate,86863.2,87450.0,opp_signal,3.0,0.6755449948885106,2.9777249744425527,1847.7190373128844,False,CHOPPY
2025-12-19 08:00:00,2025-12-19 09:00:00,2025-12-22 00:00:00,DOWN,Strong,88063.2,89279.41945609862,trail_stop,63.0,-1.3810757002909568,-7.3053785014547845,1712.7361679937417,False,BULL
2025-12-22 03:00:00,2025-12-22 04:00:00,2025-12-22 07:00:00,UP,Moderate,88727.4,88867.3,opp_signal,3.0,0.15767395415622332,0.38836977078111623,1719.3879175234642,False,CHOPPY
2025-12-22 07:00:00,2025-12-22 08:00:00,2025-12-22 12:00:00,DOWN,Strong,89127.8,90372.45957101801,trail_stop,4.0,-1.396488605146784,-7.38244302573392,1592.4550841209416,False,CHOPPY
2025-12-22 12:00:00,2025-12-22 13:00:00,2025-12-23 00:00:00,DOWN,Strong,90171.2,88581.5,opp_signal,11.0,1.7629797540678172,8.414898770339097,1726.458567412837,False,CHOPPY
2025-12-23 02:00:00,2025-12-23 03:00:00,2025-12-23 14:00:00,UP,Moderate,88167.7,86640.59440839665,trail_stop,11.0,-1.7320465335983082,-9.060232667991542,1570.0374042887604,False,CHOPPY
2025-12-23 16:00:00,2025-12-23 17:00:00,2025-12-25 05:00:00,DOWN,Moderate,87959.8,87740.5,opp_signal,36.0,0.24931843865039216,0.8465921932519604,1583.3292183846047,False,CHOPPY
2025-12-25 05:00:00,2025-12-25 06:00:00,2025-12-25 18:00:00,UP,Strong,87706.1,88096.1,opp_signal,12.0,0.44466690458246916,1.8233345229123454,1612.1986066347695,False,CHOPPY
2025-12-25 18:00:00,2025-12-25 19:00:00,2025-12-26 00:00:00,DOWN,Moderate,88198.5,87182.8,opp_signal,5.0,1.1516068867384321,5.35803443369216,1698.5807631177656,False,CHOPPY
2025-12-26 00:00:00,2025-12-26 01:00:00,2025-12-26 03:00:00,UP,Strong,87084.4,89151.8,opp_signal,2.0,2.374018767999786,11.47009383999893,1893.4095705955433,False,CHOPPY
2025-12-26 03:00:00,2025-12-26 04:00:00,2025-12-26 17:00:00,DOWN,Strong,88796.2,86821.7,opp_signal,13.0,2.2236311914248574,10.718155957124287,2096.348161279091,False,BULL
2025-12-26 17:00:00,2025-12-26 18:00:00,2025-12-26 20:00:00,UP,Moderate,87288.5,87453.7,opp_signal,2.0,0.18925746232321128,0.546287311616056,2107.800245291455,False,BEAR
2025-12-26 21:00:00,2025-12-26 22:00:00,2025-12-29 02:00:00,DOWN,Moderate,87429.2,88711.93894581083,trail_stop,52.0,-1.4671745204243303,-7.735872602121652,1944.7435036085005,False,CHOPPY
2025-12-29 03:00:00,2025-12-29 04:00:00,2025-12-29 14:00:00,DOWN,Moderate,90091.5,87354.3,opp_signal,10.0,3.0382444514743256,14.791222257371617,2232.39483756303,False,CHOPPY
2025-12-29 14:00:00,2025-12-29 15:00:00,2025-12-29 20:00:00,UP,Strong,87400.0,87328.9,opp_signal,5.0,-0.08135011441647855,-0.8067505720823931,2214.384979439852,False,CHOPPY
2025-12-29 22:00:00,2025-12-29 23:00:00,2025-12-30 03:00:00,DOWN,Moderate,87317.1,87072.8,opp_signal,4.0,0.27978483023370915,0.9989241511685565,2236.5050057993258,False,BEAR
2025-12-30 04:00:00,2025-12-30 05:00:00,2025-12-30 09:00:00,DOWN,Moderate,87262.1,87827.0,opp_signal,4.0,-0.6473600795763534,-3.6368003978817676,2155.1677828497704,False,CHOPPY
2025-12-30 10:00:00,2025-12-30 11:00:00,2025-12-30 13:00:00,UP,Moderate,87914.3,87993.3,opp_signal,2.0,0.08986023889174799,0.049301194458739594,2156.2303063093054,False,CHOPPY
2025-12-30 13:00:00,2025-12-30 14:00:00,2025-12-30 15:00:00,DOWN,Strong,88069.9,88913.5793928712,trail_stop,1.0,-0.9579656532722192,-5.189828266361096,2044.3256563846207,False,CHOPPY
2025-12-30 15:00:00,2025-12-30 16:00:00,2025-12-30 17:00:00,DOWN,Moderate,88966.8,88698.8,opp_signal,1.0,0.30123596667520625,1.106179833376042,2066.93957452408,False,CHOPPY
2025-12-30 17:00:00,2025-12-30 18:00:00,2025-12-31 15:00:00,DOWN,Moderate,88330.2,88443.4,opp_signal,21.0,-0.1281554892890613,-1.0407774464453068,2045.4273336007807,False,CHOPPY
2025-12-31 15:00:00,2025-12-31 16:00:00,2026-01-02 14:00:00,UP,Moderate,87909.0,88668.80581055833,trail_stop,46.0,0.8643094683801866,3.921547341900933,2125.639734832117,False,CHOPPY
2026-01-03 20:00:00,2026-01-03 21:00:00,2026-01-04 00:00:00,DOWN,Moderate,90333.1,91263.38540781706,trail_stop,3.0,-1.0298389049164136,-5.549194524582068,2007.6838510544724,False,CHOPPY
2026-01-04 00:00:00,2026-01-04 01:00:00,2026-01-05 00:00:00,DOWN,Moderate,91301.4,91882.99687975486,trail_stop,23.0,-0.6370076250253209,-3.585038125126605,1935.7076195621594,False,CHOPPY
2026-01-05 02:00:00,2026-01-05 03:00:00,2026-01-05 14:00:00,DOWN,Moderate,92990.3,93337.98908167981,trail_stop,11.0,-0.3738982255996781,-2.269491127998391,1891.7769068722073,False,CHOPPY
2026-01-05 15:00:00,2026-01-05 16:00:00,2026-01-05 20:00:00,DOWN,Moderate,93900.0,94711.87438116649,trail_stop,4.0,-0.8646159543839183,-4.723079771919592,1802.42677445388,False,CHOPPY
2026-01-05 20:00:00,2026-01-05 21:00:00,2026-01-06 21:00:00,DOWN,Moderate,94131.0,92899.5504417922,trail_stop,24.0,1.3082295505282948,6.141147752641474,1913.1164658062626,False,CHOPPY
2026-01-07 01:00:00,2026-01-07 02:00:00,2026-01-07 19:00:00,DOWN,Moderate,92405.6,90857.4,opp_signal,17.0,1.675439583748184,7.977197918740919,2065.7295526996495,False,BEAR
2026-01-11 20:00:00,2026-01-11 21:00:00,2026-01-12 00:00:00,DOWN,Moderate,90654.2,90964.4,trail_stop,3.0,-0.342179402609033,-2.1108970130451654,2022.1241292741213,False,CHOPPY
2026-01-12 02:00:00,2026-01-12 03:00:00,2026-01-12 15:00:00,DOWN,Moderate,92168.8,90852.7,opp_signal,12.0,1.4279235489666808,6.739617744833404,2158.4075659132377,False,CHOPPY
