raw_ic,cond_ic,n,fold_ics,frac_pos_folds,n_folds,name
0.05088536790127664,0.05730812089641621,1941,"[0.048319685061844156, -0.22222243244960574, 0.35363911100871676, -0.08835796970667574, -0.09151886976602619, -0.1666687530185574, -0.16339176526311971, -0.11362324144006533, -0.06397456957198382, 0.13488946405622976, 0.29522325779702535, -0.09209932672764362, -0.26589577145932486, 0.1939324369648797, -0.19166276541551333, -0.05626104758773013, 0.24338100140276725, 0.36892047036882103, 0.18171184725572737, -0.06933415560341206, 0.27604636610374444, 0.3567818161791683, -0.006316986158888477, 0.12887480615595717, -0.29657334993440726, 0.010455029568979028, -0.27477025944150246, -0.15972402216206766, -0.04287163607836163, -0.04171383514828364, 0.0785347401074342, 0.17668516863571018, 0.3111502839942839, 0.18138522301345958, -0.12197756934979197, 0.3690425450783103, 0.008033203687503217, -0.0541803737847506, -0.016728011102163147, 0.20798080197742833, -0.2554370255953802, 0.2646557954336125, 0.0021382800130821684, 0.03422313772512196, 0.02652450934331515, 0.2468457067529412, -0.16409361992490287, 0.03202704878339306, 0.10306570215488192, -0.2103505236690763, 0.06522388329178701, 0.12247019906099839, 0.24948678446953976, -0.06847151355994731]",0.5370370370370371,54,alpha001
0.0109761799230592,0.0016964226164652534,2061,"[0.22927793940066712, 0.34291443850267384, 0.06776556776556776, 0.24513987671882406, -0.2786956997483313, -0.44570886676149835, -0.09838786154575627, -0.1142857142857143, 0.1433719433719434, -0.20197044334975364, -0.11653353758616918, -0.007586533902323376, 0.5568181818181819, 0.05058651026392961, 0.31402396053558845, 0.4458128078817733, 0.13249299719887955, 0.2617408906882592, 0.22862903225806452, -0.11731283422459894, -0.4225140712945592, -0.12080088987764183, -0.4562717770034845, -0.10509031198686371, 0.1204502814258912, 0.09377393587919904, 0.13822393822393822, 0.21167247386759583, -0.02068059962796805, 0.12588904694167852, -0.49193548387096764, 0.2801231666801718, -0.10993031358885018, 0.5012145748987854, 0.3311740890688259, 0.29445187165775405, 0.1439377085650723, 0.20278745644599308, -0.034275990600437574, -0.08823529411764706, -0.012235817575083427, 0.0270034843205575, 0.06756756756756756, 0.2510668563300142, 0.1444991789819376, -0.192436974789916, -0.4438052021716231, -0.00392156862745098, 0.16885456885456887, 0.31781376518218624, 0.26270053475935834, 0.22232645403377113, 0.26409266409266413, 0.013333333333333332, 0.3952380952380953]",0.6181818181818182,55,alpha002
0.017648933582708012,0.014466001534712006,2061,"[-0.28977355845577696, 0.1931818181818182, 0.6422466422466423, 0.04623044096728307, 0.07057664952401796, -0.39307728781412987, 0.11759127548601231, 0.014005602240896357, 0.19433719433719435, 0.4448275862068965, 0.11346974504869242, -0.5187292555713607, 0.3315508021390374, 0.20197947214076245, 0.029175475687103592, 0.11527093596059108, 0.05350140056022409, 0.15587044534412955, 0.43064516129032265, -0.10862299465240642, 0.3748592870544091, 0.07452725250278086, 0.02090592334494774, 0.0071154898741105635, 0.26285178236397755, 0.24411861253966516, 0.2200772200772201, 0.3714285714285715, -0.044534412955465584, 0.5889046941678521, 0.20747800586510262, 0.5917672797990439, 0.1015679442508711, -0.25748987854251015, 0.0840080971659919, 0.0053475935828877, -0.038042269187986644, 0.2550522648083624, 0.48383437322745315, 0.05247326203208557, 0.14438264738598441, 0.033972125435540075, -0.21028923660502608, 0.5184921763869131, 0.19047619047619047, 0.04285714285714286, 0.04626853577505875, 0.0946778711484594, 0.02290862290862291, 0.20182186234817817, 0.15708556149732622, -0.07242026266416511, -0.06924066924066924, 0.07076923076923076, 0.09299719887955182]",0.8181818181818182,55,alpha003
0.022102373452215676,0.009277082350349743,1954,"[0.2871501445960801, 0.4998492240229675, 0.175693658806518, -0.04077998161617395, 0.15920142492672532, -0.015892491613047458, 0.15828360816322756, 0.3720841500713705, 0.11736715777221272, 0.10504320393879923, 0.311376193265542, 0.06951306764168348, 0.33039672975228335, 0.5680418891516992, -0.043458669855133955, 0.5836727035688457, 0.01595080353672106, 0.20080027463792147, -0.21651494127487475, -0.45204814877089317, -0.013668372627397788, 0.06819407058111966, -0.5097285833448655, 0.25472384799332387, 0.5952731940671168, 0.3760259040438169, 0.3697620459716871, 0.3651932506413889, 0.048700581009303516, 0.3020066590354527, -0.08089244404904777, 0.1908140682111827, -0.07549076202964722, -0.10390774101609726, 0.2045134831116613, -0.012951242860900259, 0.16383995038493207, 0.09776485837941823, -0.0011766633313545112, 0.3487953635952729, -0.5886916122757936, 0.05675357298998752, -0.012007234107484823, 0.04398686272238996, 0.031912402931765206, 0.16133511693950497, -0.23079345146551125, -0.477636376633378, 0.33262899825111186, 0.37755246238404905, 0.1795864655889116, -0.19661520695752394, -0.31574474036004774, 0.03739263408806053, 0.10992264494830328]",0.6727272727272727,55,alpha004
0.06101997595423939,0.044940668372171255,1953,"[0.2049689440993789, 0.6226604278074866, -0.029914529914529916, -0.28131112609431097, -0.18349928876244667, 0.22617354196301565, 0.40661490202422534, 0.5854751747672293, 0.22472488623663014, 0.1968222702452384, 0.10176724860666549, 0.16479933866631818, 0.29949026594076816, 0.47104105571847504, 0.15744036092793573, 0.48620689655172405, 0.16638655462184873, 0.352649426029848, -0.08790322580645162, -0.2580213903743316, 0.3260002817977283, 0.28231368186874306, -0.4506968641114983, 0.25123152709359603, 0.453658536585366, 0.1852500273552905, 0.2658944658944659, 0.2444357334955055, 0.10472178163072995, 0.2041251778093883, -0.11529649026519091, 0.27616385096206253, -0.16515679442508716, 0.05020242914979757, 0.101417004048583, 0.05681818181818182, 0.1946607341490545, 0.266672476903462, 0.37006725548983066, 0.20120320855614976, -0.36466792972345324, 0.2990548371668105, 0.039118065433854904, -0.15078236130867706, 0.18773946360153257, 0.11876750700280113, -0.07560165302649705, -0.28767507002801124, 0.11145431145431146, 0.6050607287449392, 0.043114973262032084, -0.13040011271909133, -0.020593345817789703, -0.054358974358974355, 0.40280112044817934]",0.7272727272727273,55,alpha005
-0.015703250904521605,-0.01720924803248839,2061,"[-0.06531101891882723, 0.22153427967381453, -0.0433854907539118, 0.25969251336898397, 0.6349206349206349, -0.05784732100521574, 0.22770543823175401, -0.37766714082503555, 0.42366050260787097, 0.10560224089635854, 0.10218790218790218, 0.3576354679802955, 0.11740890688259109, -0.04812707444286391, 0.19351604278074866, 0.059017595307917885, -0.49161381254404507, 0.14729064039408865, -0.07675070028011205, -0.16477732793522268, 0.4592741935483872, -0.2533422459893048, 0.0675422138836773, 0.0932146829810901, 0.017595818815331014, 0.05363984674329502, 0.2230769230769231, 0.28197833460991356, 0.322007722007722, 0.19268292682926833, -0.09443046285151549, 0.5443338074917021, 0.16239002932551316, 0.48318612754233853, 0.17717770034843208, -0.6263157894736843, 0.08704453441295548, -0.04010695187165776, 0.3263626251390434, 0.17334494773519168, 0.40280366258812095, -0.15909090909090912, 0.5537263626251391, 0.05487804878048781, -0.25912754860123277, 0.44144144144144143, 0.3295019157088122, 0.016526610644257703, 0.057612835264565274, -0.284873949579832, -0.0061776061776061784, 0.08441295546558705, 0.03208556149732621, -0.1127579737335835, -0.3341055341055341, 0.30461538461538457, -0.18739495798319328]",0.6666666666666666,57,alpha006
0.09592610082152692,0.08709310942600304,2031,"[-0.03744295842423012, 0.45909441457677724, 0.4811697843118338, -0.09906731785876335, -0.14085794378847252, -0.18494795085333973, 0.37368675824396796, -0.03782937318458853, 0.19706787092787428, 0.2929617411657728, -0.15481545705554745, -0.12062989311523323, -0.1227698944692536, 0.19068048183952213, 0.3446128695929651, 0.022464102356687936, 0.014384035000166233, -0.333084196157339, 0.49735033345145885, 0.03205409668520257, 0.1551847512931212, 0.25659791869190124, 0.1269095491914221, -0.258250457031909, -0.03049864574604209, 0.5072473649101698, 0.07159827256222112, -0.0966781723676399, 0.00931054024248422, -0.05997804069322829, 0.2944712093845297, -0.15258077114334295, 0.1655564209068439, 0.09674498683578804, 0.05897190901964858, 0.22093993310265372, 0.1942825633405885, -0.024973033445175274, 0.2011103131788376, -0.018434547938235294, 0.17584514383785008, -0.20496372776307764, -0.24854842015930315, 0.0443273402463141, 0.16852950443323322, 0.398279718238233, 0.2688500372266173, -0.15545854839219558, -0.4337502501565097, 0.2768619976830128, 0.26828573738227995, 0.27276291628740046, 0.33071093535355695, 0.20498463203772266, 0.3689313229471002, 0.3622709130872906]",0.6428571428571429,56,alpha007
0.09097686119724707,0.07592151364362912,1947,"[0.6312535699411955, 0.259010433177348, 0.021267804958227374, 0.09272031540230556, 0.23087870546674022, 0.5080062570492417, 0.5186379738554865, 0.5858273907236848, -0.41483866407113973, 0.12406924363360972, 0.5330329486759964, 0.402741822353948, 0.5270494104051034, 0.2712367188176489, 0.7282142486249653, 0.014010508740343033, 0.25441661154049194, -0.05567884820368381, -0.4470274700134112, 0.293932737018335, 0.46167538387807533, -0.35352041185444094, -0.057526392691635474, 0.4312456135538502, -0.06862584397443443, 0.1867594581377907, 0.3725003440773038, -0.053633978373225456, 0.306005102948034, 0.016701860367910944, 0.2540545600349137, 0.048618978745573235, 0.09175149532005653, -0.15094913163823062, 0.17693792116505389, 0.45799490701332063, -0.08077023888377488, -0.20661426067765523, 0.14951087100336308, -0.41279467821203897, 0.011679088465030815, 0.12617100288475175, 0.14576546312928684, 0.14213340316023082, 0.04524760203556031, -0.13057221977818095, -0.3035314378197741, 0.28641308379701147, 0.4594198239103722, -0.3099557238041592, -0.5176460366591238, -0.5272716887254392, -0.31650995327322057, 0.41681263502520527]",0.6851851851851852,54,alpha008
-0.05255553264108843,-0.05916240037973033,2060,"[-0.22224694104560622, -0.2748414376321353, -0.0734945471787577, 0.17914438502673796, 0.06502824072099377, -0.1251778093883357, -0.011051537367326841, 0.22214319582740633, 0.07942152678994784, 0.1610644257703081, 0.10785070785070787, 0.032512315270935954, -0.031185031185031187, 0.09649122807017542, 0.23997326203208558, 0.2166422287390029, -0.04735729386892177, 0.2379310344827586, -0.012605042016806725, -0.16497975708502025, -0.2028225806451613, 0.06818181818181819, 0.12138836772983115, 0.11902113459399331, -0.24756097560975612, -0.04707170224411604, -0.02401500938086304, 0.02505744611007769, 0.21261261261261263, -0.02369337979094077, 0.17890359995623153, -0.11284969179706021, 0.08357771260997067, -0.23782513572644035, -0.09111498257839724, -0.1967611336032389, 0.15951417004048585, -0.02573529411764706, 0.17552836484983317, -0.22456445993031363, 0.26796856008427195, -0.21356951871657756, -0.418020022246941, 0.3653310104529618, -0.23044096728307253, -0.19108582266477003, 0.07279693486590037, -0.04761904761904762, -0.2243740377603112, -0.1504201680672269, 0.04453024453024454, 0.07753036437246963, 0.2620320855614973, 0.005816407905455871, -0.002574002574002574, 0.0858119658119658, 0.06806722689075631]",0.5087719298245614,57,alpha009
-0.061164906262333625,-0.06526530804787493,2060,"[-0.3664071190211346, -0.20900030202355782, -0.05855855855855855, 0.19919786096256686, -0.09677911881950715, -0.04954954954954954, -0.0955246744720429, 0.2650545282124229, 0.030583214793741105, 0.1568627450980392, 0.050965250965250966, 0.032512315270935954, -0.12353649195754458, 0.03579895685158843, 0.1286764705882353, 0.15945747800586507, -0.001409443269908386, 0.2379310344827586, -0.10672268907563026, -0.12692307692307694, -0.17661290322580647, 0.19752673796791445, 0.06398048696001458, 0.11902113459399331, -0.12369337979094078, -0.1434044882320744, -0.0450281425891182, 0.00032826348615822297, 0.018018018018018018, -0.14982578397212545, 0.04694167852062588, -0.1600284495021337, -0.06781524926686217, -0.2211328093347379, -0.024216027874564464, -0.18866396761133603, 0.17854251012145747, -0.03877005347593583, 0.1911012235817575, -0.19216027874564467, 0.24122842557329227, -0.2717245989304813, -0.46785317018909905, 0.24076655052264817, -0.1346609767662399, -0.20222854433380746, 0.0722495894909688, 0.08823529411764706, -0.211895308321854, -0.0484593837535014, 0.08030888030888031, 0.02044534412955466, 0.24064171122994651, -0.029080675422138838, -0.002574002574002574, -0.11863247863247862, -0.08067226890756303]",0.5614035087719298,57,alpha010
