feature,coverage,ic_y_long_touch,ic_y_short_touch,ic_path_max_up_4h,ic_path_max_dn_4h,months_stable_long,n_months,max_init_corr,redundant_with,max_abs_ic,primary_label,status
dfp_fcvd_cum_24h_rank,0.9969992498124531,0.12649688361359046,-0.2113410853999786,-0.04443819344531828,0.06165047232282355,6,6,0.4846556193555628,init_liq_cluster_imb,0.2113410853999786,ic_y_short_touch,PASS
dfp_scvd_cum_24h_rank,0.9969992498124531,0.11914520505120012,-0.17933160521822333,0.012146839550699427,0.03744896680252275,5,6,0.4560278910607039,init_break_dn_atr,0.17933160521822333,ic_y_short_touch,PASS
dfp_flow_consensus_persist_8h,0.9997499374843711,0.11421249204017384,-0.1500003213009204,0.01752266537124043,0.02537314405627367,6,6,0.4850926090326299,init_liq_cluster_imb,0.1500003213009204,ic_y_short_touch,PASS
dfp_long_build_persist_8h,0.9997499374843711,0.1458341836378019,-0.11143989244296865,0.013314063686526552,-0.008451139144962613,6,6,0.45833328936174,init_liq_cluster_imb,0.1458341836378019,ic_y_long_touch,PASS
dfp_taker_4h_24h_rank,0.9967491872968242,0.10984110062888712,-0.14268552669896098,0.013455229325849399,-0.009788933695380997,6,6,0.2805885666612406,init_bo_dn_streak,0.14268552669896098,ic_y_short_touch,PASS
dfp_liq_short_dom_streak,1.0,0.14169073175313837,-0.1210854390563316,0.0012099205368246834,-0.0017067820289844624,6,6,0.4041258780774956,init_bo_up_streak,0.14169073175313837,ic_y_long_touch,PASS
dfp_liq_long_dom_streak,1.0,-0.11726182456472092,0.13554906113556528,0.018658356564880484,0.0010745083990924829,6,6,0.3957878453556347,init_bo_dn_streak,0.13554906113556528,ic_y_short_touch,PASS
dfp_fcvd_sign_streak,1.0,0.08235359148310703,-0.13539759263465648,0.011688118843023816,0.014945099713006529,6,6,0.3776532983999173,init_oi_bullish_build,0.13539759263465648,ic_y_short_touch,PASS
dfp_flow_consensus_signed,1.0,0.10437858339389086,-0.13211380392065886,0.015413851848364989,-0.004788446969795639,6,6,0.5266845285293467,init_oi_bullish_build,0.13211380392065886,ic_y_short_touch,PASS
dfp_taker_sign_streak,1.0,0.08352087631669171,-0.12663916341958636,0.019296599237241207,0.008216153394054628,6,6,0.36408839998650705,init_oi_bullish_build,0.12663916341958636,ic_y_short_touch,PASS
dfp_flow_consensus_zweighted,1.0,0.10399587042839814,-0.1250396898931011,0.013313373888952517,-0.018212249362576854,6,6,0.48474582076522826,init_oi_bullish_build,0.1250396898931011,ic_y_short_touch,PASS
dfp_net_build_8h,0.9997499374843711,0.1184751688215499,-0.1140256622655614,0.002460979085910053,-0.012160703010320099,6,6,0.4297184693206307,init_liq_cluster_imb,0.1184751688215499,ic_y_long_touch,PASS
dfp_long_cover_persist_8h,0.9997499374843711,-0.11714663663606344,0.09752126265412601,0.019226750792973576,0.015305449244149073,6,6,0.4171210431973943,init_liq_cluster_imb,0.11714663663606344,ic_y_long_touch,PASS
dfp_scvd_sign_streak,1.0,0.09457028441033906,-0.1125795129747663,0.033032445667423777,-0.00905974461128937,6,6,0.25099850989078265,init_bo_up_streak,0.1125795129747663,ic_y_short_touch,PASS
dfp_oi_sign_streak,1.0,0.10383062148481345,-0.06477075620457055,0.012222780281511532,-0.031047072576239725,6,6,0.6206818616559199,init_oi_bullish_build,0.10383062148481345,ic_y_long_touch,PASS
dfp_cb_funding_divergence,0.9997499374843711,-0.02771153935161596,0.014936074491952622,-0.07510871115785545,0.05507170695513562,3,6,0.21003495658400942,init_funding_sign_persist_8h,0.07510871115785545,ic_path_max_up_4h,FAIL_unstable
dfp_spot_lead_ratio,0.9997499374843711,-0.042729362430477216,0.07299804338877035,-0.0015268963267207785,-0.009561063435911522,5,6,0.4188459780192882,init_oi_bullish_build,0.07299804338877035,ic_y_short_touch,PASS
dfp_short_cover_persist_8h,0.9997499374843711,-0.029068369586091176,-0.06717995093976807,-0.06408305859363593,0.029090420413000036,4,6,0.26222868222095264,init_oi_close_corr_12h,0.06717995093976807,ic_y_short_touch,PASS
dfp_pos_ls_sign_streak,1.0,-0.061892230002404985,0.026696006732417964,-0.022882596985879678,0.015295695777978933,5,6,0.12956556913237624,init_funding_d1,0.061892230002404985,ic_y_long_touch,PASS
dfp_retail_whale_div,0.9994998749687422,-0.06097413375142229,0.06041920598869736,0.013234176654692197,0.013804376315053548,5,6,0.277005847139602,init_liq_cluster_imb,0.06097413375142229,ic_y_long_touch,PASS
dfp_post_short_liq_rev,1.0,0.001026236256122339,0.058786173310528975,0.05938989841811661,-0.0290798660320677,2,6,0.26870600463706107,init_liq_short_cluster,0.05938989841811661,ic_path_max_up_4h,FAIL_unstable
dfp_post_long_liq_rev,1.0,-0.025377379618172474,-0.007032259792676664,0.05675424381097316,0.014716231052020107,5,6,0.28109994504414104,init_liq_long_cluster,0.05675424381097316,ic_path_max_up_4h,PASS
dfp_cb_premium_sign_streak,1.0,0.022713824399836414,-0.01838372899401987,0.02613963420634886,-0.04795464376406313,2,6,0.06581706119142663,init_oi_close_corr_12h,0.04795464376406313,ic_path_max_dn_4h,FAIL_unstable
dfp_short_build_persist_8h,0.9997499374843711,-0.008560500808006417,0.04271981781374694,0.03358852384669351,0.008585951894757264,2,6,0.36564931420832547,init_oi_bearish_build,0.04271981781374694,ic_y_short_touch,FAIL_unstable
dfp_cb_premium_slope_4h,0.9987496874218554,0.02858419003679306,-0.021979673874939355,0.014764305658465792,0.004369258288059144,5,6,0.13327052851743587,init_liq_cluster_imb,0.02858419003679306,ic_y_long_touch,FAIL_weak_ic
