ts,fill_bar,fill_price,exit_price,filled,blocked,bars_held,exit_reason,gross_ret,net_ret,win,equity_after,drawdown_after,block_reason
2025-12-23 12:00:00,2025-12-23 13:00:00,87737.3,87298.6135,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1007.5,0.0,
2025-12-24 01:00:00,2025-12-24 02:00:00,87603.1,87165.08450000001,True,False,1.0,tp,0.004999999999999893,0.004499999999999893,1.0,1015.0562499999999,0.0,
2025-12-25 18:00:00,2025-12-25 19:00:00,88198.5,87757.50749999999,True,False,1.0,tp,0.0050000000000001155,0.004500000000000115,1.0,1022.6691718750001,0.0,
2025-12-25 19:00:00,2025-12-25 20:00:00,88112.3,87671.7385,True,False,2.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1030.3391906640625,0.0,
2025-12-25 20:00:00,2025-12-25 21:00:00,87844.7,87405.47649999999,True,False,1.0,tp,0.0050000000000001155,0.004500000000000115,1.0,1038.066734594043,0.0,
2026-01-09 00:00:00,2026-01-09 01:00:00,91248.1,90791.8595,True,False,6.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1045.8522351034983,0.0,
2026-01-12 12:00:00,2026-01-12 13:00:00,90741.6,91013.8248,True,False,1.0,sl_ambig,-0.0029999999999998916,-0.0034999999999998917,0.0,1039.751430398728,0.005833333333333256,
2026-01-13 05:00:00,2026-01-13 06:00:00,91883.6,92159.2508,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1033.6862137214023,0.011632638888888588,
2026-01-13 06:00:00,2026-01-13 07:00:00,92146.9,92423.34069999999,True,False,2.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1027.6563774746942,0.017398115162036664,
2026-01-13 08:00:00,2026-01-13 09:00:00,92137.8,92414.2134,True,False,4.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1021.6617152727587,0.02312995949025792,
2026-01-13 10:00:00,2026-01-13 11:00:00,92092.5,92368.7775,True,False,2.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1015.7020219336678,0.028828368059897903,
2026-01-13 11:00:00,2026-01-13 12:00:00,91962.1,92237.98629999999,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1009.7770934723882,0.0344935359128817,
2026-01-13 12:00:00,2026-01-13 13:00:00,92076.2,92352.42859999998,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1003.8867270937994,0.0401256569533897,
2026-01-13 17:00:00,,,,False,True,,,,0.0,,,,halted: consecutive_loss_threshold
2026-01-14 03:00:00,,,,False,True,,,,0.0,,,,halted: consecutive_loss_threshold
2026-01-14 06:00:00,,,,False,True,,,,0.0,,,,halted: consecutive_loss_threshold
2026-01-14 21:00:00,2026-01-14 22:00:00,97515.0,97027.425,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1011.415877547003,0.03292659938054007,
2026-01-15 11:00:00,2026-01-15 12:00:00,96548.9,96838.54669999998,True,False,1.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1005.5159515946457,0.038567860884153385,
2026-01-15 12:00:00,2026-01-15 13:00:00,96931.3,96446.6435,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1013.0573212316056,0.03135711984078451,
2026-01-15 13:00:00,2026-01-15 14:00:00,96801.0,96316.995,True,False,1.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1020.6552511408426,0.024092298239590436,
2026-01-16 02:00:00,2026-01-16 03:00:00,95469.5,95755.90849999999,True,False,3.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1014.7014288425212,0.02978509316652596,
2026-01-16 06:00:00,2026-01-16 07:00:00,95702.5,95223.9875,True,False,4.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1022.31168955884,0.022508481365274946,
2026-01-16 08:00:00,2026-01-16 09:00:00,95628.3,95150.1585,True,False,5.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1029.9790272305313,0.01517729497551455,
2026-01-16 09:00:00,2026-01-16 10:00:00,95568.1,95090.2595,True,False,5.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1037.7038699347604,0.007791124687830795,
2026-01-16 10:00:00,2026-01-16 11:00:00,95272.6,95558.4178,True,False,3.0,sl,-0.0029999999999998916,-0.0034999999999998917,0.0,1031.650597360141,0.013579009793818332,
2026-01-17 17:00:00,2026-01-17 18:00:00,95318.1,94841.5095,True,False,7.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1039.3879768403422,0.006180852367271957,
2026-01-17 18:00:00,2026-01-17 19:00:00,95384.5,94907.5775,True,False,6.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1047.1833866666448,0.0,
2026-01-18 20:00:00,2026-01-18 21:00:00,95259.3,94783.0035,True,False,2.0,tp,0.0050000000000000044,0.004500000000000004,1.0,1055.0372620666446,0.0,
