coin,n_buckets,lighter_fills,hl_fills,lighter_usd,hl_usd,c0,peak_lag,peak_c,cm1,cp1
SOL,8305,2393,10932,1101819.8842210001,58156875.614800006,0.5208206240279482,0,0.5208206240279482,0.07502230031555512,0.16116926815684338
BTC,8250,6006,22333,23469875.498361997,383203323.88048,0.4008069872452759,0,0.4008069872452759,0.03260589163780569,0.22703950897530706
LIT,8449,2351,8126,1024196.276199,10935020.693000002,0.387883970929508,0,0.387883970929508,0.06127367774251264,0.15684718931255248
PUMP,9087,808,8905,455213.895809,17305475.150178,0.2565186076371777,0,0.2565186076371777,0.09345081574257899,0.0734102936027132
ETH,28286,4547,18772,14140815.215687,269627287.65449995,0.24480945823128838,0,0.24480945823128838,0.021429835735946624,0.11897885902204286
USELESS,8398,2174,4430,82219.249733,3353740.02659,0.10258095778480779,0,0.10258095778480779,0.07252114891188353,0.06403240069805334
NEAR,58743,1094,10396,245780.021857,14596159.36162,0.08877049807735922,0,0.08877049807735922,0.02949143249823391,0.04242148265747722
ZEC,54125,900,18921,1371666.204613,115899907.04900001,0.08531058145051594,0,0.08531058145051594,0.042173460550698906,0.025543867948481274
HYPE,42167,1924,30622,2866228.4963100003,120339171.78855999,0.0560566608734038,0,0.0560566608734038,0.02283370770871652,0.03887930895974338
