feature,cond_ic,raw_ic,abs_cond_ic,frac_fold_consist,n_folds,nonzero_frac,n,max_corr_deployed,family,pass_cond_ic,pass_consist,pass_notredundant,pass_notsparse,SCREEN_PASS
exchange_flow_8h,0.02305026019559948,-0.0351569282865477,0.02305026019559948,0.45454545454545453,77,1.0,3696,0.3499816459437013,exchange,False,False,True,True,False
tox_bv_vpin,-0.02278934087259456,-0.013206121530667306,0.02278934087259456,0.5584415584415584,77,1.0,3696,0.2562107609050363,tox,False,False,True,True,False
init_funding_sign_persist_8h,0.022265404916480314,0.02544912068022328,0.022265404916480314,0.4935064935064935,77,0.816017316017316,3696,0.6790880747038324,init,False,False,True,True,False
ls_acceleration_8h,-0.0219692318903669,0.006346700428927461,0.0219692318903669,0.4805194805194805,77,1.0,3696,0.2746660851827445,ls,False,False,True,True,False
reversal_1v3,0.021653763527967204,0.0185006477456231,0.021653763527967204,0.5974025974025974,77,0.9997294372294372,3696,0.29243750989653294,reversal,False,False,True,True,False
liq_imbalance_slope,-0.021644092776640103,0.020721972776809542,0.021644092776640103,0.5194805194805194,77,0.9991329479768786,3460,0.679742538751745,liq,False,False,True,True,False
cg_liq_imbalance_slope_4h,-0.020766065596239926,0.020479432337226506,0.020766065596239926,0.5454545454545454,77,0.9353354978354979,3696,0.6606876761919809,cg,False,False,True,True,False
avg_trade_size,-0.020429093322358278,0.008235117079760526,0.020429093322358278,0.4935064935064935,77,1.0,3696,0.46549606950152983,avg,False,False,True,True,False
trade_intensity,0.020429093322358278,-0.008235117079760526,0.020429093322358278,0.4935064935064935,77,1.0,3696,0.46549606950152983,trade,False,False,True,True,False
oi_price_confirm,0.020290194497950997,0.046901031809176985,0.020290194497950997,0.6363636363636364,77,1.0,3696,0.6080595522114136,oi,False,True,True,True,False
init_oi_bearish_build,-0.01865480943069731,-0.011406879451674436,0.01865480943069731,0.5454545454545454,77,0.12554112554112554,3696,0.22216321295996683,init,False,False,True,False,False
trade_intensity_zscore,0.01826685153615558,-0.0024057142623269637,0.01826685153615558,0.5324675324675324,77,1.0,3696,0.5299405611220259,trade,False,False,True,True,False
avg_trade_size_zscore,-0.017860547685154035,0.002234790731553092,0.017860547685154035,0.5194805194805194,77,1.0,3696,0.5291529802309489,avg,False,False,True,True,False
fear_greed_value,-0.017817260233591797,-0.021958261050895926,0.017817260233591797,0.40425531914893614,47,1.0,3696,0.6268857158520601,fear,False,False,True,True,False
dfp_long_cover_persist_8h,-0.017524703346852067,0.03901441618584909,0.017524703346852067,0.42857142857142855,77,0.9856601731601732,3696,0.5475719232075901,dfp,False,False,True,True,False
init_break_funding_align_up,0.017194345112982862,-0.0055679953640065255,0.017194345112982862,0.4,60,0.04599567099567099,3696,0.23765495234216902,init,False,False,True,False,False
volume_ma_4h,-0.017066685016524023,0.022395300154193276,0.017066685016524023,0.4935064935064935,77,1.0,3696,0.8194411425309802,volume,False,False,True,True,False
dfp_short_cover_persist_8h,-0.0170632705203543,-0.020030858187570208,0.0170632705203543,0.5844155844155844,77,0.6109307359307359,3696,0.23195789386910123,dfp,False,False,True,True,False
