entry_ts,exit_ts,side,tier,entry_price,exit_price,exit_reason,bars_held,gross_pct,net_pct,size_frac,equity_ret_pct,equity_after,win
2025-12-01 05:00:00,2025-12-01 12:00:00,LONG,Strong,85767.7,84853.76545043649,trail_stop,7,-0.010655929324949853,-0.011455929324949854,0.8440728460051207,-0.9669638868943944,990.3303611310561,0
2025-12-01 14:00:00,2025-12-01 15:00:00,LONG,Strong,85943.7,84646.26553872072,trail_stop,1,-0.015096330054201523,-0.015896330054201522,0.868673403953716,-1.3808719138554995,976.6551673198136,0
2025-12-01 17:00:00,2025-12-04 17:00:00,LONG,Strong,84540.4,92384.5,time_cap,72,0.09278522457901794,0.09198522457901795,0.6766819981581961,6.224474556916028,1037.4468197184412,1
2025-12-09 06:00:00,2025-12-09 18:00:00,LONG,Moderate,89857.7,93887.3,opp_signal,12,0.04484423705481011,0.04404423705481011,0.8888493589779665,3.914869187284156,1078.061505598058,1
2025-12-09 20:00:00,2025-12-09 21:00:00,SHORT,Moderate,93761.9,92591.2,opp_signal,1,0.012485881792071107,0.011685881792071107,0.803894381885708,0.9394214720026453,1088.189046863041,1
2025-12-10 11:00:00,2025-12-10 21:00:00,LONG,Moderate,92230.4,92409.1,trail_stop,10,0.0019375390326834552,0.0011375390326834552,1.0,0.11375390326834553,1089.4269043787865,1
2025-12-11 05:00:00,2025-12-11 22:00:00,LONG,Strong,90386.6,92325.4,opp_signal,17,0.02145008220245015,0.02065008220245015,0.7532092785823741,1.55538335183742,1106.371669079932,1
2025-12-12 00:00:00,2025-12-12 15:00:00,SHORT,Strong,92477.6,89895.0,opp_signal,15,0.027926762805263183,0.027126762805263185,0.7411392091980247,2.0104707533595145,1128.6149479102396,1
2025-12-12 18:00:00,2025-12-12 21:00:00,LONG,Moderate,90043.9,90151.0,opp_signal,3,0.0011894198274398082,0.0003894198274398082,0.7935983090938246,0.03090429165838407,1128.9637383654417,1
2025-12-12 23:00:00,2025-12-15 02:00:00,SHORT,Strong,90294.7,89417.59934923504,trail_stop,51,0.009713755633109833,0.008913755633109833,0.9438638029757428,0.8413371290663496,1138.4621294700057,1
2025-12-15 13:00:00,2025-12-15 19:00:00,SHORT,Moderate,89657.9,86363.22534192546,trail_stop,6,0.0367471763009678,0.0359471763009678,1.0,3.59471763009678,1179.3866283500392,1
2025-12-16 15:00:00,2025-12-17 15:00:00,LONG,Moderate,87257.2,87449.53305914588,trail_stop,24,0.002204208468136404,0.0014042084681364039,0.7876737858018548,0.11060582001520243,1180.6910986014755,1
2025-12-18 14:00:00,2025-12-18 17:00:00,LONG,Moderate,88804.0,87459.80514793991,trail_stop,3,-0.015136647584118812,-0.01593664758411881,0.8933577782567119,-1.4237128078608576,1163.8814482094133,0
2025-12-19 07:00:00,2025-12-22 00:00:00,SHORT,Moderate,87450.0,89342.52197275343,trail_stop,65,-0.02164118893943323,-0.02244118893943323,0.6866842998253633,-1.5410012114123395,1145.9460209931028,0
2025-12-22 04:00:00,2025-12-22 07:00:00,LONG,Moderate,88727.4,89127.7,opp_signal,3,0.004511571397336045,0.003711571397336045,1.0,0.3711571397336045,1150.199281467512,1
