id,signal_time,anchor_ms,tier,direction,side,entry_price,actual_return_4h,fill_rate,entry_grid,entry_mkt,entry_imp_bps,pnl_mkt_bps,pnl_grid_bps,diff_bps
17,2025-11-16 07:00:00,1763280300000,Moderate,DOWN,-1,96064.8,-0.004963316428077791,0.25,96013.1296875,96016.7676,-0.3788830420916404,34.65549202679121,35.02828661389266,0.3727945871014526
18,2025-11-16 08:00:00,1763283900000,Strong,DOWN,-1,96083.5,-0.003848735735063835,1.0,96263.6565625,96035.45825000001,23.7618809404684,23.504109405341797,50.13023815409837,26.62612874875657
19,2025-11-16 11:00:00,1763294700000,Moderate,DOWN,-1,95588.0,-0.011054734903962804,0.75,95728.56550000003,95540.206,19.715207647764593,95.60014911418578,117.31878106305928,21.71863194887349
20,2025-11-16 14:00:00,1763305500000,Strong,DOWN,-1,95487.0,-0.015511011970215871,0.0,94514.01935,95439.2565,-96.94513389257186,140.1852123083135,43.76126774572603,-96.42394456258747
21,2025-11-16 16:00:00,1763312700000,Moderate,DOWN,-1,94185.4,-0.0014259110223027172,1.0,94361.99762499999,94138.3073,23.76188094046903,-0.7362579059253416,25.94733397182924,26.683591877754584
22,2025-11-16 18:00:00,1763319900000,Moderate,UP,1,94005.9,0.0016041546328475764,0.25,94238.13335624998,94052.90294999999,-19.694278479470345,1.0360283143188531,-17.891231882441645,-18.927260196760496
23,2025-11-16 19:00:00,1763323500000,Strong,UP,1,93994.5,0.002417162706328524,1.0,93818.2603125,94041.49725,23.738130934532524,9.162046040265139,36.002256293836005,26.84021025357087
24,2025-11-16 20:00:00,1763327100000,Strong,UP,1,94051.1,0.012794108734506926,1.0,93874.75418750002,94098.12555,23.73813093453061,112.87964752130998,139.9666498134687,27.087002292158733
25,2025-11-16 21:00:00,1763330700000,Moderate,UP,1,93472.9,0.01347556350557233,1.0,93297.6383125,93519.63644999999,23.738130934531835,119.69078966089258,146.79399880347862,27.10320914258603
26,2025-11-16 22:00:00,1763334300000,Strong,UP,1,94156.7,0.008341413834597189,1.0,93980.15618749999,94203.77835,23.738130934533103,68.37495087053769,95.35605595088121,26.981105080343532
27,2025-11-16 23:00:00,1763337900000,Strong,UP,1,94221.7,0.013270828269920987,1.0,94045.0343125,94268.81085,23.738130934531373,117.64446046897508,144.74280045005204,27.098339981076954
28,2025-11-17 00:00:00,1763341500000,Strong,UP,1,95254.4,-0.001958964625256021,1.0,95075.79799999998,95302.02719999998,23.738130934532904,-34.57735757377251,-7.841223546709308,26.736134027063205
29,2025-11-17 01:00:00,1763345100000,Moderate,DOWN,-1,94732.5,0.003759005621090994,1.0,94910.1234375,94685.13375000001,23.76188094046999,-52.611361891855346,-25.804797216129423,26.806564675725927
30,2025-11-17 04:00:00,1763355900000,Moderate,UP,1,95067.8,0.005359333023379209,0.5,95035.5400375,95115.3339,8.389169151620374,38.56904571093764,48.50603819226388,9.936992481326245
31,2025-11-17 06:00:00,1763363100000,Moderate,DOWN,-1,95237.3,0.0038881824663237197,1.0,95415.8699375,95189.68135000001,23.761880940468778,-53.903776551512415,-27.094148135484083,26.809628416028332
32,2025-11-17 08:00:00,1763370300000,Moderate,DOWN,-1,95577.3,-0.00307499793360988,0.75,95689.04421250001,95529.51135000002,16.69985120257778,15.762860766483028,34.641918096620266,18.879057330137236
33,2025-11-17 09:00:00,1763373900000,Moderate,DOWN,-1,95608.0,-0.01772341226675589,0.75,95728.57051250001,95560.19600000001,17.61973285404298,162.32028280896478,181.85593507065917,19.53565226169438
34,2025-11-17 10:00:00,1763377500000,Moderate,DOWN,-1,95607.6,-0.009177094707952138,1.0,95786.86425000001,95559.79620000001,23.761880940470405,76.8143542566507,103.31410812678483,26.499753870134125
35,2025-11-17 11:00:00,1763381100000,Moderate,DOWN,-1,95530.1,-0.016899385638662667,0.0,94979.38655,95482.33495,-52.674497357378286,154.0758943337934,101.99130554923535,-52.084588784558036
