coin,n,both_cells,peak_lag_ms,peak_c,ci_lo,ci_hi,cov_lo,cov_mid,cov_hi
SOL,140139,1253,250.0,0.1920889894381265,0.14216395307513216,0.24213698406585973,0.0,,0.033543931038175295
BTC,139918,7928,500.0,0.13963179675646706,0.11304511044727687,0.16910269562180075,0.0,,0.08968325791855204
LIT,140716,837,0.0,0.13384793592571576,0.10056874300483895,0.17202742680751482,0.0,,0.03527478084962913
ETH,220062,2844,250.0,0.1256049296741444,0.09615150986847025,0.1563052518475726,0.0,,0.04948238364506307
PUMP,143265,1313,250.0,0.09203555636078088,0.06321002494567698,0.1223809503540747,0.0,,0.04573638010310715
HYPE,275588,1385,0.0,0.05098522908288758,0.027734656100851584,0.11037089278197645,0.0,,0.023278093381290128
