era,feature,h,n,ic_all,mo_mean_ic,n_months,mo_sign_share,halves_agree,top5_net_bps,top5_ci_lo
B_flow90d,ti_5,5,93147,0.0043,0.0059,3,0.67,True,,
B_flow90d,dz_5,5,93147,-0.003,-0.002,3,0.67,True,,
B_flow90d,ret_5,5,92620,-0.0405,-0.0412,3,1.0,True,,
B_flow90d,ti_15,5,93137,-0.0043,-0.0036,3,0.67,True,,
B_flow90d,dz_15,5,93137,-0.0064,-0.0073,3,1.0,True,,
B_flow90d,ret_15,5,92427,-0.0348,-0.0363,3,1.0,True,,
B_flow90d,ti_60,5,93092,-0.0112,-0.0114,3,1.0,True,,
B_flow90d,dz_60,5,93092,-0.0153,-0.0148,3,1.0,True,,
B_flow90d,ret_60,5,91902,-0.026,-0.0258,3,1.0,True,,
B_flow90d,vshock_60,5,93092,0.0016,0.001,3,0.67,False,,
B_flow90d,obi,5,93151,0.034,0.0356,3,1.0,True,,
B_flow90d,liq_z15,5,93151,0.0074,0.0105,3,1.0,True,,
B_flow90d,liq_dir15,5,93151,-0.0024,-0.0011,3,0.67,False,,
B_flow90d,ti_5,15,92954,0.0041,0.0056,3,0.67,False,,
B_flow90d,dz_5,15,92954,-0.0009,-0.0003,3,0.67,False,,
B_flow90d,ret_5,15,92422,-0.0299,-0.031,3,1.0,True,,
B_flow90d,ti_15,15,92944,-0.0095,-0.0093,3,1.0,True,,
B_flow90d,dz_15,15,92944,-0.0101,-0.0108,3,1.0,True,,
B_flow90d,ret_15,15,92246,-0.0323,-0.0332,3,1.0,True,,
B_flow90d,ti_60,15,92899,-0.0179,-0.017,3,1.0,True,,
B_flow90d,dz_60,15,92899,-0.0258,-0.0231,3,1.0,True,,
B_flow90d,ret_60,15,91747,-0.0279,-0.0265,3,1.0,True,,
B_flow90d,vshock_60,15,92899,0.0145,0.0153,3,1.0,True,,
B_flow90d,obi,15,92958,0.0163,0.0166,3,1.0,True,,
B_flow90d,liq_z15,15,92958,0.0144,0.0185,3,1.0,True,,
B_flow90d,liq_dir15,15,92958,-0.0031,-0.0006,3,0.67,False,,
B_flow90d,ti_5,30,92717,0.0015,0.0008,3,0.67,False,-7.56,-8.25
