signal_ts,entry_ts,exit_ts,direction,tier,entry_px,exit_px,exit_reason,hold_h,gross,net,regime
2025-12-01 08:00:00,2025-12-01 09:00:00,2025-12-02 09:00:00,UP,Strong,86811.0,86734.4,time_exit,24.0,-0.000882376657336148,-0.001682376657336148,BEAR
2025-12-01 09:00:00,2025-12-01 10:00:00,2025-12-02 10:00:00,UP,Strong,86659.2,87241.8,time_exit,24.0,0.006722886894870994,0.005922886894870994,BEAR
2025-12-01 10:00:00,2025-12-01 11:00:00,2025-12-02 11:00:00,UP,Moderate,86599.0,87326.9,time_exit,24.0,0.008405408838439099,0.007605408838439099,BEAR
2025-12-01 11:00:00,2025-12-01 12:00:00,2025-12-02 12:00:00,UP,Moderate,86100.0,87225.6,time_exit,24.0,0.013073170731707329,0.012273170731707328,BEAR
2025-12-01 12:00:00,2025-12-01 13:00:00,2025-12-02 13:00:00,UP,Strong,85396.3,87691.3,time_exit,24.0,0.02687470066033315,0.026074700660333152,BEAR
2025-12-01 13:00:00,2025-12-01 14:00:00,2025-12-02 14:00:00,UP,Strong,85943.7,89225.1,time_exit,24.0,0.0381808090645388,0.0373808090645388,BEAR
2025-12-01 14:00:00,2025-12-01 15:00:00,2025-12-02 15:00:00,UP,Strong,86017.4,90809.2,time_exit,24.0,0.05570733363249758,0.05490733363249758,BEAR
2025-12-01 15:00:00,2025-12-01 16:00:00,2025-12-02 16:00:00,UP,Strong,84650.0,90713.9,time_exit,24.0,0.0716349675132899,0.07083496751328991,BEAR
2025-12-01 16:00:00,2025-12-01 17:00:00,2025-12-02 17:00:00,UP,Strong,84540.4,91417.5,time_exit,24.0,0.08134690633117425,0.08054690633117426,BEAR
2025-12-01 17:00:00,2025-12-01 18:00:00,2025-12-02 18:00:00,UP,Moderate,84902.6,91905.0,time_exit,24.0,0.08247568390131743,0.08167568390131744,BEAR
2025-12-01 18:00:00,2025-12-01 19:00:00,2025-12-02 19:00:00,UP,Moderate,85159.1,91849.9,time_exit,24.0,0.07856823287235293,0.07776823287235293,BEAR
