,0
cg_taker_buy,0.059748388826847076
cg_taker_sell,0.05497213825583458
hour_cos,0.039591725915670395
weekday_sin,0.03169821947813034
cg_liq_x_oi,0.024137353524565697
realized_vol_20b,0.02281179092824459
cg_oi_cm_vs_usd,0.01940617524087429
cg_pos_account_divergence,0.018849287182092667
cg_gls_ratio,0.017466681078076363
cg_pos_ls_ratio,0.017460688948631287
cg_liq_agg_long,0.016996080055832863
cg_oi_range_pct,0.016445184126496315
cg_bfx_margin_delta,0.016129864379763603
cg_oi_close,0.015718718990683556
cg_liq_agg_imbalance,0.014711462892591953
cg_liq_long,0.01465943455696106
cg_liq_agg_total,0.013450387865304947
hour_sin,0.013042952865362167
cg_ls_ratio,0.012986365705728531
cg_oi_close_pctchg_12h,0.012856927700340748
cg_oi_cm_close,0.012676048092544079
weekday_cos,0.012557106092572212
cg_oi_close_pctchg_24h,0.012462547048926353
cg_gls_ratio_zscore,0.012245887890458107
cg_oi_agg_close,0.012152398936450481
cg_liq_short,0.011745372787117958
post_absorb_breakout_z,0.01150843221694231
cg_funding_close_zscore,0.011450306512415409
vol_acceleration,0.011408173479139805
cg_liq_agg_imbalance_zscore,0.011214778758585453
vol_regime,0.010898997075855732
cg_liq_total,0.010877969674766064
cg_pos_ls_ratio_zscore,0.010467791929841042
abs_completion,0.010136190801858902
cg_liq_imbalance,0.01008972991257906
cg_funding_close_slope_4h,0.009928524494171143
cg_liq_ratio,0.009846334345638752
vol_entropy,0.009791563265025616
cg_oi_close_pctchg_4h,0.009785672649741173
cg_ls_ratio_zscore,0.009733677841722965
taker_delta_ma_24h,0.009674791246652603
impact_asymmetry,0.00967308972030878
vol_kurtosis,0.009651821106672287
taker_delta_std_24h,0.009466718882322311
cg_margin_funding_align,0.009461261332035065
taker_delta_ratio,0.009324048645794392
return_kurtosis,0.009288257919251919
cg_oi_close_zscore,0.009103783406317234
impact_asymmetry_zscore,0.008777197450399399
cg_crowding,0.008744906634092331
cg_oi_agg_delta_zscore,0.00867549329996109
cg_bfx_margin_delta_zscore,0.008531251922249794
cg_liq_agg_short,0.008461539633572102
oi_price_divergence,0.008338766172528267
cg_funding_close_mom_1h,0.008273342624306679
flow_trend_score,0.008243412710726261
cg_funding_range,0.008047705516219139
cg_oi_close_pctchg_8h,0.007821282371878624
cg_taker_ratio,0.00777538912370801
post_absorb_breakout,0.007735773921012878
cg_funding_close,0.007562270853668451
funding_taker_align,0.007108301855623722
cg_liq_exchange_vs_agg,0.006995346862822771
cg_conviction,0.006937095429748297
cg_liq_imbalance_zscore,0.00660651596263051
cg_fcvd_delta_zscore,0.00652143033221364
cg_taker_delta_zscore,0.0064051044173538685
abs_completion_z,0.00633884035050869
fragility_zscore,0.00632526446133852
cg_oi_delta_zscore,0.0061238729394972324
cg_oi_delta_slope_4h,0.006026354152709246
cg_oi_delta,0.006016906350851059
cg_liq_total_zscore,0.005823585670441389
price_impact,0.005757519043982029
cg_taker_delta_mom_1h,0.005562045145779848
cg_taker_delta,0.005545602645725012
squeeze_proxy,0.00546077499166131
price_impact_zscore,0.005255301482975483
cg_oi_range_zscore,0.005143909715116024
fragility,0.004953744821250439
cg_oi_accel,0.0046218750067055225
cg_taker_delta_slope_4h,0.004568140953779221
cg_oi_delta_mom_1h,0.004518222063779831
cg_oi_agg_delta,0.0042158025316894054
cg_fcvd_delta,0.004124832805246115
cg_oi_cm_delta,0.003461014712229371
cg_oi_cm_delta_zscore,0.0028329952619969845
